Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,39,0,32,38.024550051257116,22.480890000224463,135.73414300026343,69.0,0.6895185587903735,0.0,32,36,37,39,39,130,140,140,140,140,140
,Aggregated,39,0,32,38.024550051257116,22.480890000224463,135.73414300026343,69.0,0.6895185587903735,0.0,32,36,37,39,39,130,140,140,140,140,140
